nome,porte,valor,max_qtd,imagem
Olho de boi - 1p,1,,5,selos/olho_de_boi_1p.png
Olho de boi - 2p,2,,5,selos/olho_de_boi_2p.png
Olho de boi - 3p,3,,5,selos/olho_de_boi_3p.png
Beethoven,,"2,05",5,selos/beethoven_2020.png
Clarice Lispector,,"2,05",5,selos/clarice.png
Postcrossing,,"2,45",5,selos/postcrossing.png
Libras,,"2,05",5,selos/libras.png
Manicure,,1,5,selos/manicure.png
Sapateiro,,"0,2",5,selos/sapateiro.png
Costureira,,"0,05",5,selos/costureira.png
Brasil Finlândia,,"2,15",5,selos/BrasilFinlandia.png
Brasil Suíça,,"2,15",5,selos/BrasilSuiça.png
Brasil Polônia,1,,5,selos/BrasilPolonia.png
Trompete,,"0,1",5,selos/trompete.png
Comunicação Postal Marketing,,2,5,selos/comunicacao.png
Variedades de Pimentas,,"1,95",5,selos/pimentas.png
Brasil Rep. Tcheca Eslováquia,,"2,25",5,selos/tcheca.png
Série Mercosul: Tecido Chita,,"6,25",5,selos/MercosulChita.png
Natal 2024 - Ziraldo,,"2,55",5,selos/NatalZiraldo.png
Selo Jogos Olimpicos e Paralimpicos Rio 2016,,"1,4",5,selos/Rio2016.png
Rainha Elizabeth,,"1,85",5,selos/RainhaElizabeth.png
Centenário Medalha de Ouro,,5,5,selos/Medalha.png
Dia Mundial da Amamentação,,"2,85",5,selos/amamentacao.png
Soldadinho de Chumbo,,"2,55",5,selos/SoldadinhoChumbo.png
Estrada de Ferro da Serra do Mar Paranaense,1,,5,selos/EstradaFerroSerraMar.png
Queijos do Brasil,,"1,05",5,selos/queijos.png
Bicicletas Antigas,,"1,25",5,selos/bicicletasAntigas.png
Jogos Populares,,1,5,selos/jogos.png
Cientistas Brasileiros Cesar Lattes e Johanna Döbereiner (DUPLO),,"3,7",5,selos/lattes_johanna.png
Mercados Centrais do Brasil,,"2,45",5,selos/mercados.png
Sistema Solar - Marte,,"0,35",5,selos/marte.png
Sistema Solar - Saturno,,2,5,selos/saturno.png
Sistema Solar - Netuno,,"1,35",5,selos/netuno.png
Sistema Solar - Mercúrio,,"0,2",5,selos/mercurio.png
Sistema Solar - Terra e Lua,,"1,35",5,selos/TerraLua.png
Sistema Solar - Urano,,2,5,selos/urano.png
Sistema Solar - Sol,,"2,25",5,selos/sol.png
Sistema Solar - Vênus,,"0,5",5,selos/venus.png
Sistema Solar - Júpiter,,"2,25",5,selos/jupiter.png
Moedas Brasileiras - 1 real,,"2,35",5,selos/umreal.png
Moedas Brasileiras - 100 cruzados,,"6,5",5,selos/cemcruzados.png
Moedas Brasileiras - 1 Cruzeiro,,"9,55",5,selos/umcruzeiro.png
Moedas Brasileiras - 100 réis,,"10,55",5,selos/cemreis.png
Serviço Logístico - 1p,1,,5,selos/servicologistico.png
Conferência Nacional da Juventude - 1p,1,,5,selos/conferenciajuventude.png