nome,porte,valor,max_qtd,imagem
Olho de boi - 1p,1,,3,selos/olho_de_boi_1p.png
Olho de boi - 2p,2,,3,selos/olho_de_boi_2p.png
Olho de boi - 3p,3,,3,selos/olho_de_boi_3p.png
Beethoven,,"2,05",3,selos/beethoven_2020.png
Clarice Lispector,,"2,05",3,selos/clarice.png
Postcrossing,,"2,45",3,selos/postcrossing.png
Libras,,"2,05",3,selos/libras.png
Manicure,,1,3,selos/manicure.png
Sapateiro,,"0,2",3,selos/sapateiro.png
Costureira,,"0,05",3,selos/costureira.png
Brasil Finlândia,,"2,15",3,selos/BrasilFinlandia.png
Brasil Suíça,,"2,15",3,selos/BrasilSuica.png
Brasil Polônia - Papa João Paulo II,1,,3,selos/BrasilPolonia.png
Trompete,,"0,1",3,selos/trompete.png
Comunicação Postal Marketing,,2,3,selos/comunicacao.png
Variedades de Pimentas,,"1,95",3,selos/pimentas.png
Brasil Rep. Tcheca Eslováquia,,"2,25",3,selos/tcheca1.png
Série Mercosul: Tecido Chita,,"6,25",3,selos/MercosulChita.png
Natal 2024 - Ziraldo,,"2,55",3,selos/NatalZiraldo.png
Selo Jogos Olimpicos e Paralimpicos Rio 2016,,"1,4",3,selos/Rio2016.png
Rainha Elizabeth,,"1,85",3,selos/RainhaElizabeth.png
Centenário Medalha de Ouro,,5,3,selos/Medalha.png
Dia Mundial da Amamentação,,"2,85",3,selos/amamentacao.png
Soldadinho de Chumbo,,"2,55",3,selos/SoldadinhoChumbo.png
Estrada de Ferro da Serra do Mar Paranaense,1,,3,selos/EstradaFerroSerraMar.png
Queijos do Brasil,,"1,05",3,selos/queijos.png
Bicicletas Antigas,,"1,25",3,selos/bicicletasAntigas.png
Jogos Populares,,1,3,selos/jogos.png
Cientistas Brasileiros Cesar Lattes e Johanna Döbereiner (BLOCO com 2),,"3,7",3,selos/lattes_johanna.png
Mercados Centrais do Brasil,,"2,45",3,selos/mercados.png
Sistema Solar - Marte,,"0,35",3,selos/marte.png
Sistema Solar - Saturno,,2,3,selos/saturno.png
Sistema Solar - Netuno,,"1,35",3,selos/netuno.png
Sistema Solar - Mercúrio,,"0,2",3,selos/mercurio.png
Sistema Solar - Terra e Lua,,"1,35",3,selos/TerraLua.png
Sistema Solar - Urano,,2,3,selos/urano.png
Sistema Solar - Sol,,"2,25",3,selos/sol.png
Sistema Solar - Vênus,,"0,5",3,selos/venus.png
Sistema Solar - Júpiter,,"2,25",3,selos/jupiter.png
Moedas Brasileiras - 1 real,,"2,35",3,selos/umreal.png
Moedas Brasileiras - 100 cruzados,,"6,5",3,selos/cemcruzados.png
Moedas Brasileiras - 1 Cruzeiro,,"9,55",3,selos/umcruzeiro.png
Moedas Brasileiras - 100 réis,,"10,55",3,selos/cemreis.png
Serviço Logístico - 1p,1,,3,selos/servicologistico.png
Conferência Nacional da Juventude - 1p,1,,3,selos/conferenciajuventude.png
Brasil Rep. Tcheca Eslováquia (BLOCO com 4),,9,3,selos/tcheca4.png
Variedades de Pimentas (BLOCO com 4),,"7,8",3,selos/pimenta_bloco.png
John Lennon em Nova York - 2p,2,,3,selos/lennon.png
Paulo Freire - 1p,1,,3,selos/freire.png
Mulheres Pioneiras Ciências - Bertha Lutz - 1p,1,,3,selos/bertha.png
PANC - 1p,1,,3,selos/panc.png
Faróis Brasileiros,,3,3,selos/farois.png
Daniel Azulay - 1p,1,,3,selos/azulay.png
Trabalho Infantil - 1p,1,,3,selos/trabalhoinfantil.png
Viticultura - Uva - 1p,1,,3,selos/uva.png
Brasil Rep. Tcheca Eslováquia (BLOCO com 2),,"4,5",3,selos/tcheca2.png
Lygia Fagundes Telles - 1p,1,,3,selos/lygia.png
100 Anos Previdência Social,1,,3,selos/previdencia.png
Suculentas - modelo 1,,"2,6",3,selos/suculentas1.png
Suculentas - modelo 2,,"2,6",3,selos/suculentas2.png
Suculentas - modelo 3,,"2,6",3,selos/suculentas3.png
Suculentas - modelo 4,,"2,6",3,selos/suculentas4.png
Suculentas (BLOCO com 4),,"10,4",3,selos/suculentas_quadra.png
Primeira Assembleia Constituinte,,"2,45",3,selos/constituinte.png
Candeia de Natal,1,,3,selos/candeianatal.png
Luiz Gama,1,,3,selos/luizgama.png
Jogos Eletrônicos (BLOCO com 3),,"7,35",3,selos/jogoselet_bloco3.png
Jogos Eletrônicos - modelo 1,,"2,45",3,selos/jogos_elet_tipo1.png
Jogos Eletrônicos - modelo 2,,"2,45",3,selos/jogos_elet_tipo2.png
Jogos Eletrônicos - modelo 3,,"2,45",3,selos/jogos_elet_tipo3.png
Merendeira,1,,3,selos/merendeira.png
Presença dos Correios,1,,3,selos/presencacorreios.png
Centenário 1ª Travessia Aérea (BLOCO com 3),,"7,05",3,selos/travessia_bloco3.png
Centenário 1ª Travessia Aérea - modelo 1,,"2,35",3,selos/travessia1.png
Centenário 1ª Travessia Aérea - modelo 2,,"2,35",3,selos/travessia2.png
Centenário 1ª Travessia Aérea - modelo 3,,"2,35",3,selos/travessia3.png
Movimentos Populares,1,,3,selos/movpop.png
Populações Caiçaras,,"2,35",3,selos/caicaras.png
Bombeiro,1,,3,selos/bombeiro.png
Brasil Estônia,,"4,95",3,selos/BrasilEstonia.png
Insetos Benéficos - Abelha,,"1,8",3,selos/inseto_abelha.png
Insetos Benéficos - Joaninha,,"1,8",3,selos/inseto_joaninha.png
Insetos Benéficos - Libélula,,"1,8",3,selos/inseto_libelula.png
Insetos Benéficos - Louva-a-deus,,"1,8",3,selos/inseto_louva.png
Insetos Benéficos - Rola-bosta,,"1,8",3,selos/inseto_rola.png
Insetos Benéficos - Microvespa,,"1,8",3,selos/inseto_microvespa.png
Obra Desaparecida - Portinari,,"1,5",3,selos/desap_portinari.png
Brasília Patrimônio Mundial,,2,3,selos/brasilia.png
Circuito das Águas de Minas Gerais,1,,3,selos/agua_minas.png
Bossa Nova,,"3,7",3,selos/bossanova.png
Selo Natal Presente Religiao 2015,1,,3,selos/natal_presente.png
